vehicle_id,zone_id,t0_image,t1_image,t0_orig_x1,t0_orig_y1,t0_orig_x2,t0_orig_y2,t0_orig_w,t0_orig_h,t1_orig_x1,t1_orig_y1,t1_orig_x2,t1_orig_y2,t1_orig_w,t1_orig_h,move_dist,diag0,diag1,diag_ratio,delta_min,move_ratio,stop,bbox_x1_640,bbox_y1_640,bbox_x2_640,bbox_y2_640
39,c,0001_top_20250705_t0,0001_top_20250705_t1,78.0,288.0,109.0,342.0,31.0,54.0,156,309,175,367,19,58,7.382,107.168,145.207,1.355,7,0.069,Yes,156,309,175,367
40,c,0001_top_20250705_t0,0001_top_20250705_t1,373.0,561.0,409.0,616.0,36.0,55.0,340,494,359,538,19,44,2.0,103.711,117.593,1.134,7,0.019,Yes,340,494,359,538
41,c,0001_top_20250705_t0,0001_top_20250705_t1,207.0,358.0,237.0,413.0,30.0,55.0,237,365,257,415,20,50,8.544,104.005,132.774,1.277,7,0.082,Yes,237,365,257,415
42,c,0001_top_20250705_t0,0001_top_20250705_t1,251.0,169.0,280.0,221.0,29.0,52.0,276,231,293,273,17,42,36.623,113.952,112.161,0.984,7,0.321,Yes,276,231,293,273
43,c,0001_top_20250705_t0,0001_top_20250705_t1,413.0,538.0,451.0,595.0,38.0,57.0,364,483,382,531,18,48,6.103,111.041,121.511,1.094,7,0.055,Yes,364,483,382,531
44,c,0001_top_20250705_t0,0001_top_20250705_t1,376.0,478.0,411.0,535.0,35.0,57.0,341,447,360,493,19,46,8.016,109.225,121.264,1.11,7,0.073,Yes,341,447,360,493
45,c,0001_top_20250705_t0,0001_top_20250705_t1,286.0,149.0,313.0,195.0,27.0,46.0,289,225,304,265,15,40,3.0,105.38,104.637,0.993,7,0.028,Yes,289,225,304,265
46,c,0001_top_20250705_t0,0001_top_20250705_t1,234.0,183.0,262.0,236.0,28.0,53.0,253,247,271,290,18,43,5.59,111.288,117.796,1.058,7,0.05,Yes,253,247,271,290
47,c,0001_top_20250705_t0,0001_top_20250705_t1,336.0,336.0,370.0,389.0,34.0,53.0,320,358,338,401,18,43,5.852,112.61,114.865,1.02,7,0.052,Yes,320,358,338,401
48,c,0001_top_20250705_t0,0001_top_20250705_t1,95.0,509.0,126.0,567.0,31.0,58.0,174,453,194,509,20,56,11.511,96.426,142.436,1.477,7,0.119,Yes,174,453,194,509
49,c,0001_top_20250705_t0,0001_top_20250705_t1,277.0,383.0,312.0,434.0,35.0,51.0,282,386,302,427,20,41,7.616,107.713,117.414,1.09,7,0.071,Yes,282,386,302,427
50,c,0001_top_20250705_t0,0001_top_20250705_t1,98.0,513.0,122.0,568.0,24.0,55.0,176,461,192,509,16,48,13.463,82.801,117.801,1.423,7,0.163,Yes,176,461,192,509
51,c,0001_top_20250705_t0,0001_top_20250705_t1,97.0,273.0,129.0,328.0,32.0,55.0,169,310,187,354,18,44,2.0,110.635,117.796,1.065,7,0.018,Yes,169,310,187,354
71,b,0001_top_20250707_t0,0001_top_20250707_t1,375.0,231.0,459.0,296.0,84.0,65.0,354,381,444,454,90,73,2.915,72.918,75.133,1.03,6,0.04,Yes,354,381,444,454
72,b,0001_top_20250707_t0,0001_top_20250707_t1,375.0,165.0,451.0,232.0,76.0,67.0,356,312,438,386,82,74,3.536,68.0,70.328,1.034,6,0.052,Yes,356,312,438,386
73,b,0001_top_20250707_t0,0001_top_20250707_t1,378.0,305.0,458.0,375.0,80.0,70.0,355,455,444,532,89,77,2.55,71.12,75.18,1.057,6,0.036,Yes,355,455,444,532
74,b,0001_top_20250707_t0,0001_top_20250707_t1,384.0,86.0,463.0,159.0,79.0,73.0,363,227,450,303,87,76,2.062,71.197,73.824,1.037,6,0.029,Yes,363,227,450,303
75,b,0001_top_20250707_t0,0001_top_20250707_t1,165.0,399.0,243.0,457.0,78.0,58.0,131,545,218,623,87,78,1.581,68.447,74.303,1.086,6,0.023,Yes,131,545,218,623
76,b,0001_top_20250707_t0,0001_top_20250707_t1,380.0,381.0,460.0,439.0,80.0,58.0,358,534,444,611,86,77,3.64,69.354,72.945,1.052,6,0.052,Yes,358,534,444,611
77,b,0001_top_20250707_t0,0001_top_20250707_t1,384.0,454.0,461.0,511.0,77.0,57.0,359,618,440,639,81,21,10.63,67.119,60.208,0.897,6,0.158,Yes,359,618,440,639
78,b,0001_top_20250707_t0,0001_top_20250707_t1,158.0,265.0,243.0,328.0,85.0,63.0,125,405,218,477,93,72,1.118,74.733,76.485,1.023,6,0.015,Yes,125,405,218,477
79,b,0001_top_20250707_t0,0001_top_20250707_t1,334.0,381.0,368.0,505.0,34.0,124.0,305,531,347,639,42,108,9.301,63.953,56.036,0.876,6,0.145,Yes,305,531,347,639
84,d,0001_top_20250708_t0,0001_top_20250708_t1,398.0,236.0,469.0,524.0,71.0,288.0,585,320,639,558,54,238,3.64,89.185,70.774,0.794,10,0.041,Yes,585,320,639,558
85,d,0001_top_20250708_t0,0001_top_20250708_t1,240.0,259.0,307.0,543.0,67.0,284.0,443,292,510,541,67,249,4.5,87.71,75.591,0.862,10,0.051,Yes,443,292,510,541
86,d,0001_top_20250708_t0,0001_top_20250708_t1,159.0,282.0,230.0,561.0,71.0,279.0,376,284,440,544,64,260,5.0,86.833,77.82,0.896,10,0.058,Yes,376,284,440,544
87,d,0001_top_20250708_t0,0001_top_20250708_t1,318.0,277.0,386.0,557.0,68.0,280.0,512,320,580,575,68,255,6.083,85.959,77.827,0.905,10,0.071,Yes,512,320,580,575
88,d,0001_top_20250708_t0,0001_top_20250708_t1,0.0,308.0,73.0,584.0,73.0,276.0,229,265,292,520,63,255,1.803,86.354,76.026,0.88,10,0.021,Yes,229,265,292,520
89,d,0001_top_20250708_t0,0001_top_20250708_t1,78.0,297.0,150.0,577.0,72.0,280.0,306,290,372,537,66,247,5.701,87.71,74.706,0.852,10,0.065,Yes,306,290,372,537
91,c,0001_top_20250711_t0,0001_top_20250711_t1,258.0,172.0,312.0,284.0,54.0,112.0,258,172,312,284,54,112,1.581,121.083,118.343,0.977,9,0.013,Yes,258,172,312,284
92,c,0001_top_20250711_t0,0001_top_20250711_t1,214.0,187.0,262.0,293.0,48.0,106.0,214,187,262,293,48,106,2.55,110.635,107.935,0.976,9,0.023,Yes,214,187,262,293
93,c,0001_top_20250711_t0,0001_top_20250711_t1,174.0,209.0,232.0,314.0,58.0,105.0,174,209,232,314,58,105,2.236,119.52,116.778,0.977,9,0.019,Yes,174,209,232,314
94,c,0001_top_20250711_t0,0001_top_20250711_t1,175.0,206.0,223.0,301.0,48.0,95.0,175,206,223,301,48,95,2.915,103.392,100.658,0.974,9,0.028,Yes,175,206,223,301
95,b,0002_top_20250630_t0,0002_top_20250630_t1,163.0,31.0,186.0,79.0,23.0,48.0,235,51,257,155,22,104,14.509,46.669,68.964,1.478,7,0.311,Yes,235,51,257,155
97,d,0002_top_20250703_t0,0002_top_20250703_t1,558.0,358.0,622.0,399.0,64.0,41.0,441,354,503,393,62,39,8.382,76.322,74.686,0.979,6,0.11,Yes,441,354,503,393
98,d,0002_top_20250703_t0,0002_top_20250703_t1,565.0,297.0,630.0,340.0,65.0,43.0,443,292,506,334,63,42,8.382,77.621,76.942,0.991,6,0.108,Yes,443,292,506,334
99,d,0002_top_20250703_t0,0002_top_20250703_t1,566.0,489.0,627.0,532.0,61.0,43.0,456,482,516,522,60,40,11.0,74.324,71.554,0.963,6,0.148,Yes,456,482,516,522
100,d,0002_top_20250703_t0,0002_top_20250703_t1,561.0,431.0,617.0,469.0,56.0,38.0,448,425,506,462,58,37,6.576,66.31,68.877,1.039,6,0.099,Yes,448,425,506,462
101,d,0002_top_20250703_t0,0002_top_20250703_t1,480.0,121.0,507.0,225.0,27.0,104.0,351,141,374,240,23,99,2.062,75.584,75.644,1.001,6,0.027,Yes,351,141,374,240
102,d,0002_top_20250703_t0,0002_top_20250703_t1,163.0,325.0,190.0,418.0,27.0,93.0,46,413,78,510,32,97,6.801,69.836,80.262,1.149,6,0.097,Yes,46,413,78,510
103,d,0002_top_20250704_t0,0002_top_20250704_t1,63.0,293.0,98.0,427.0,35.0,134.0,216,298,251,434,35,136,5.852,75.153,74.733,0.994,7,0.078,Yes,216,298,251,434
105,c,0002_top_20250705_t0,0002_top_20250705_t1,230.0,60.0,262.0,119.0,32.0,59.0,307,100,339,156,32,56,32.423,104.661,115.278,1.101,10,0.31,Yes,307,100,339,156
106,c,0002_top_20250705_t0,0002_top_20250705_t1,474.0,128.0,511.0,181.0,37.0,53.0,557,165,594,221,37,56,7.906,118.229,121.918,1.031,10,0.067,Yes,557,165,594,221
107,c,0002_top_20250705_t0,0002_top_20250705_t1,436.0,0.0,471.0,46.0,35.0,46.0,518,26,548,83,30,57,19.704,109.202,117.388,1.075,10,0.18,Yes,518,26,548,83
108,c,0002_top_20250705_t0,0002_top_20250705_t1,533.0,341.0,570.0,396.0,37.0,55.0,618,373,639,433,21,60,15.508,116.662,92.195,0.79,10,0.133,Yes,618,373,639,433
109,c,0002_top_20250705_t0,0002_top_20250705_t1,222.0,313.0,261.0,374.0,39.0,61.0,304,345,343,404,39,59,15.008,111.072,120.341,1.083,10,0.135,Yes,304,345,343,404
110,c,0002_top_20250705_t0,0002_top_20250705_t1,438.0,154.0,474.0,211.0,36.0,57.0,519,190,554,244,35,54,6.727,117.034,116.181,0.993,10,0.057,Yes,519,190,554,244
111,c,0002_top_20250705_t0,0002_top_20250705_t1,144.0,200.0,184.0,265.0,40.0,65.0,244,217,282,279,38,62,37.98,113.846,126.574,1.112,10,0.334,Yes,244,217,282,279
112,c,0002_top_20250705_t0,0002_top_20250705_t1,495.0,194.0,528.0,253.0,33.0,59.0,581,235,608,286,27,51,4.95,115.434,98.311,0.852,10,0.043,Yes,581,235,608,286
113,c,0002_top_20250705_t0,0002_top_20250705_t1,456.0,479.0,491.0,539.0,35.0,60.0,539,506,575,566,36,60,2.236,109.786,111.288,1.014,10,0.02,Yes,539,506,575,566
114,c,0002_top_20250705_t0,0002_top_20250705_t1,397.0,456.0,436.0,518.0,39.0,62.0,480,484,520,544,40,60,3.0,115.521,118.562,1.026,10,0.026,Yes,480,484,520,544
115,c,0002_top_20250705_t0,0002_top_20250705_t1,437.0,418.0,471.0,478.0,34.0,60.0,522,448,556,505,34,57,6.021,108.977,106.963,0.982,10,0.055,Yes,522,448,556,505
116,c,0002_top_20250705_t0,0002_top_20250705_t1,284.0,274.0,319.0,336.0,35.0,62.0,366,308,401,365,35,57,7.906,108.19,112.486,1.04,10,0.073,Yes,366,308,401,365
117,c,0002_top_20250705_t0,0002_top_20250705_t1,376.0,198.0,412.0,251.0,36.0,53.0,458,230,492,285,34,55,9.605,108.577,113.217,1.043,10,0.088,Yes,458,230,492,285
118,c,0002_top_20250705_t0,0002_top_20250705_t1,262.0,293.0,300.0,351.0,38.0,58.0,345,326,380,382,35,56,9.899,108.374,111.072,1.025,10,0.091,Yes,345,326,380,382
119,c,0002_top_20250705_t0,0002_top_20250705_t1,399.0,184.0,430.0,237.0,31.0,53.0,481,219,511,268,30,49,9.925,101.912,100.499,0.986,10,0.097,Yes,481,219,511,268
120,c,0002_top_20250705_t0,0002_top_20250705_t1,497.0,372.0,529.0,429.0,32.0,57.0,581,403,613,455,32,52,3.905,106.217,101.415,0.955,10,0.037,Yes,581,403,613,455
121,c,0002_top_20250705_t0,0002_top_20250705_t1,475.0,476.0,512.0,539.0,37.0,63.0,561,502,596,565,35,63,4.301,115.521,112.61,0.975,10,0.037,Yes,561,502,596,565
122,c,0002_top_20250705_t0,0002_top_20250705_t1,418.0,438.0,459.0,498.0,41.0,60.0,502,467,542,523,40,56,4.123,119.331,115.256,0.966,10,0.035,Yes,502,467,542,523
123,c,0002_top_20250705_t0,0002_top_20250705_t1,159.0,369.0,198.0,429.0,39.0,60.0,242,396,281,456,39,60,26.101,104.69,118.191,1.129,10,0.249,Yes,242,396,281,456
124,c,0002_top_20250705_t0,0002_top_20250705_t1,396.0,12.0,436.0,70.0,40.0,58.0,475,50,514,107,39,57,14.765,127.142,131.046,1.031,10,0.116,Yes,475,50,514,107
125,c,0002_top_20250705_t0,0002_top_20250705_t1,356.0,39.0,395.0,95.0,39.0,56.0,418,92,453,149,35,57,37.336,120.739,123.069,1.019,10,0.309,Yes,418,92,453,149
126,c,0002_top_20250705_t0,0002_top_20250705_t1,417.0,0.0,452.0,54.0,35.0,54.0,497,38,531,92,34,54,13.435,116.387,120.283,1.033,10,0.115,Yes,497,38,531,92
127,c,0002_top_20250705_t0,0002_top_20250705_t1,379.0,25.0,415.0,84.0,36.0,59.0,436,79,474,133,38,54,40.115,119.67,124.74,1.042,10,0.335,Yes,436,79,474,133
128,c,0002_top_20250705_t0,0002_top_20250705_t1,426.0,173.0,450.0,224.0,24.0,51.0,506,209,531,256,25,47,7.433,89.107,91.22,1.024,10,0.083,Yes,506,209,531,256
129,c,0002_top_20250705_t0,0002_top_20250705_t1,475.0,386.0,514.0,441.0,39.0,55.0,559,416,595,468,36,52,3.162,116.039,107.299,0.925,10,0.027,Yes,559,416,595,468
130,c,0002_top_20250705_t0,0002_top_20250705_t1,456.0,401.0,493.0,457.0,37.0,56.0,541,428,578,486,37,58,7.159,111.521,113.455,1.017,10,0.064,Yes,541,428,578,486
131,c,0002_top_20250705_t0,0002_top_20250705_t1,225.0,134.0,263.0,200.0,38.0,66.0,306,172,343,233,37,61,23.259,118.089,126.574,1.072,10,0.197,Yes,306,172,343,233
132,c,0002_top_20250705_t0,0002_top_20250705_t1,515.0,442.0,553.0,499.0,38.0,57.0,597,469,638,526,41,57,4.743,115.884,117.614,1.015,10,0.041,Yes,597,469,638,526
133,c,0002_top_20250705_t0,0002_top_20250705_t1,492.0,459.0,533.0,517.0,41.0,58.0,577,485,618,546,41,61,4.243,119.633,120.88,1.01,10,0.035,Yes,577,485,618,546
134,c,0002_top_20250705_t0,0002_top_20250705_t1,325.0,68.0,357.0,124.0,32.0,56.0,407,106,434,159,27,53,17.847,106.075,103.276,0.974,10,0.168,Yes,407,106,434,159
135,c,0002_top_20250705_t0,0002_top_20250705_t1,533.0,422.0,572.0,479.0,39.0,57.0,616,446,639,510,23,64,20.359,118.849,97.082,0.817,10,0.171,Yes,616,446,639,510
136,c,0002_top_20250705_t0,0002_top_20250705_t1,175.0,435.0,217.0,498.0,42.0,63.0,281,452,320,515,39,63,19.164,110.39,119.553,1.083,10,0.174,Yes,281,452,320,515
137,c,0002_top_20250705_t0,0002_top_20250705_t1,197.0,426.0,239.0,488.0,42.0,62.0,288,456,317,510,29,54,16.194,111.126,94.763,0.853,10,0.146,Yes,288,456,317,510
138,c,0002_top_20250705_t0,0002_top_20250705_t1,433.0,238.0,474.0,295.0,41.0,57.0,500,283,535,340,35,57,32.638,123.065,114.691,0.932,10,0.265,Yes,500,283,535,340
139,c,0002_top_20250705_t0,0002_top_20250705_t1,420.0,175.0,453.0,229.0,33.0,54.0,499,211,534,261,35,50,7.106,106.963,111.396,1.041,10,0.066,Yes,499,211,534,261
140,c,0002_top_20250705_t0,0002_top_20250705_t1,340.0,53.0,376.0,112.0,36.0,59.0,400,102,438,160,38,58,36.366,116.103,128.818,1.11,10,0.313,Yes,400,102,438,160
141,c,0002_top_20250705_t0,0002_top_20250705_t1,260.0,378.0,293.0,433.0,33.0,55.0,342,405,377,460,35,55,7.906,96.208,107.564,1.118,10,0.082,Yes,342,405,377,460
142,c,0002_top_20250705_t0,0002_top_20250705_t1,337.0,482.0,374.0,545.0,37.0,63.0,420,511,458,567,38,56,1.581,108.931,109.343,1.004,10,0.015,Yes,420,511,458,567
143,c,0002_top_20250705_t0,0002_top_20250705_t1,396.0,269.0,435.0,325.0,39.0,56.0,459,319,497,377,38,58,38.685,115.109,119.097,1.035,10,0.336,Yes,459,319,497,377
144,c,0002_top_20250705_t0,0002_top_20250705_t1,378.0,466.0,414.0,525.0,36.0,59.0,463,494,501,551,38,57,7.28,106.888,111.396,1.042,10,0.068,Yes,463,494,501,551
145,c,0002_top_20250705_t0,0002_top_20250705_t1,302.0,84.0,340.0,140.0,38.0,56.0,382,123,419,178,37,55,16.008,114.11,123.167,1.079,10,0.14,Yes,382,123,419,178
146,c,0002_top_20250705_t0,0002_top_20250705_t1,454.0,222.0,492.0,280.0,38.0,58.0,537,256,573,310,36,54,6.708,120.104,114.215,0.951,10,0.056,Yes,537,256,573,310
147,c,0002_top_20250705_t0,0002_top_20250705_t1,355.0,302.0,395.0,360.0,40.0,58.0,443,335,473,388,30,53,6.519,114.978,100.449,0.874,10,0.057,Yes,443,335,473,388
148,c,0002_top_20250705_t0,0002_top_20250705_t1,403.0,12.0,431.0,65.0,28.0,53.0,482,49,510,102,28,53,15.116,101.833,108.904,1.069,10,0.148,Yes,482,49,510,102
149,c,0002_top_20250705_t0,0002_top_20250705_t1,238.0,390.0,278.0,451.0,40.0,61.0,321,422,360,481,39,59,12.0,110.39,116.181,1.052,10,0.109,Yes,321,422,360,481
150,c,0002_top_20250705_t0,0002_top_20250705_t1,378.0,285.0,413.0,342.0,35.0,57.0,463,317,492,373,29,56,5.408,109.041,102.533,0.94,10,0.05,Yes,463,317,492,373
151,c,0002_top_20250705_t0,0002_top_20250705_t1,276.0,365.0,317.0,421.0,41.0,56.0,360,396,399,452,39,56,4.123,109.986,115.624,1.051,10,0.037,Yes,360,396,399,452
152,c,0002_top_20250705_t0,0002_top_20250705_t1,364.0,41.0,392.0,93.0,28.0,52.0,443,80,471,131,28,51,14.773,97.591,105.361,1.08,10,0.151,Yes,443,80,471,131
153,c,0002_top_20250705_t0,0002_top_20250705_t1,415.0,250.0,453.0,309.0,38.0,59.0,479,300,517,359,38,59,34.562,117.796,120.507,1.023,10,0.293,Yes,479,300,517,359
154,c,0002_top_20250705_t0,0002_top_20250705_t1,518.0,443.0,548.0,494.0,30.0,51.0,603,473,633,524,30,51,1.118,97.082,95.016,0.979,10,0.012,Yes,603,473,633,524
155,c,0002_top_20250705_t0,0002_top_20250705_t1,442.0,239.0,468.0,293.0,26.0,54.0,524,273,550,322,26,49,6.946,94.048,91.935,0.978,10,0.074,Yes,524,273,550,322
156,c,0002_top_20250705_t0,0002_top_20250705_t1,300.0,350.0,335.0,408.0,35.0,58.0,383,380,418,437,35,57,3.041,104.005,110.39,1.061,10,0.029,Yes,383,380,418,437
157,c,0002_top_20250705_t0,0002_top_20250705_t1,421.0,2.0,447.0,48.0,26.0,46.0,500,35,525,84,25,49,17.678,92.698,99.725,1.076,10,0.191,Yes,500,35,525,84
158,c,0002_top_20250705_t0,0002_top_20250705_t1,316.0,335.0,355.0,394.0,39.0,59.0,399,365,438,424,39,59,3.808,112.699,119.754,1.063,10,0.034,Yes,399,365,438,424
159,c,0002_top_20250705_t0,0002_top_20250705_t1,257.0,116.0,296.0,175.0,39.0,59.0,342,153,380,211,38,58,17.755,115.434,125.936,1.091,10,0.154,Yes,342,153,380,211
160,c,0002_top_20250705_t0,0002_top_20250705_t1,478.0,209.0,508.0,263.0,30.0,54.0,558,245,595,299,37,54,6.5,104.062,116.387,1.118,10,0.062,Yes,558,245,595,299
161,c,0002_top_20250705_t0,0002_top_20250705_t1,472.0,211.0,514.0,267.0,42.0,56.0,577,232,610,293,33,61,42.688,127.004,118.14,0.93,10,0.336,Yes,577,232,610,293
162,c,0002_top_20250705_t0,0002_top_20250705_t1,165.0,182.0,202.0,246.0,37.0,64.0,264,203,298,265,34,62,34.821,110.318,120.283,1.09,10,0.316,Yes,264,203,298,265
163,c,0002_top_20250705_t0,0002_top_20250705_t1,344.0,56.0,372.0,106.0,28.0,50.0,423,92,450,139,27,47,20.396,94.069,98.29,1.045,10,0.217,Yes,423,92,450,139
164,c,0002_top_20250705_t0,0002_top_20250705_t1,362.0,480.0,394.0,533.0,32.0,53.0,442,503,478,559,36,56,1.118,94.175,106.405,1.13,10,0.012,Yes,442,503,478,559
165,c,0002_top_20250705_t0,0002_top_20250705_t1,339.0,320.0,370.0,373.0,31.0,53.0,419,347,455,405,36,58,5.59,95.525,114.691,1.201,10,0.059,Yes,419,347,455,405
166,c,0002_top_20250705_t0,0002_top_20250705_t1,383.0,24.0,411.0,79.0,28.0,55.0,458,63,495,123,37,60,11.715,102.533,130.177,1.27,10,0.114,Yes,458,63,495,123
167,c,0002_top_20250705_t0,0002_top_20250705_t1,516.0,362.0,547.0,413.0,31.0,51.0,598,385,634,442,36,57,5.831,100.005,112.805,1.128,10,0.058,Yes,598,385,634,442
