vehicle_id,zone_id,t0_image,t1_image,t0_orig_x1,t0_orig_y1,t0_orig_x2,t0_orig_y2,t0_orig_w,t0_orig_h,t1_orig_x1,t1_orig_y1,t1_orig_x2,t1_orig_y2,t1_orig_w,t1_orig_h,move_dist,diag0,diag1,diag_ratio,delta_min,move_ratio,stop,bbox_x1_640,bbox_y1_640,bbox_x2_640,bbox_y2_640,image_path,stop_bool,ok_all
33,c,0001_top_20250705_t0,0001_top_20250705_t1,83.0,445.0,114.0,497.0,31.0,52.0,165.0,420.0,183.0,466.0,18,46,12.748,94.847,120.739,1.273,7,0.134,Yes,165.0,420.0,183.0,466.0,D:\projects\illegal_parking_project\data\images\0001_top_20250705_t1.jpg,True,True
34,c,0001_top_20250705_t0,0001_top_20250705_t1,321.0,275.0,349.0,323.0,28.0,48.0,310.0,317.0,326.0,357.0,16,40,7.071,101.119,105.759,1.046,7,0.07,Yes,310.0,317.0,326.0,357.0,D:\projects\illegal_parking_project\data\images\0001_top_20250705_t1.jpg,True,True
35,c,0001_top_20250705_t0,0001_top_20250705_t1,413.0,284.0,441.0,342.0,28.0,58.0,366.0,321.0,387.0,365.0,21,44,12.816,112.432,124.483,1.107,7,0.114,Yes,366.0,321.0,387.0,365.0,D:\projects\illegal_parking_project\data\images\0001_top_20250705_t1.jpg,True,True
36,c,0001_top_20250705_t0,0001_top_20250705_t1,431.0,437.0,467.0,490.0,36.0,53.0,376.0,423.0,397.0,471.0,21,48,3.808,111.665,129.634,1.161,7,0.034,Yes,376.0,423.0,397.0,471.0,D:\projects\illegal_parking_project\data\images\0001_top_20250705_t1.jpg,True,True
37,c,0001_top_20250705_t0,0001_top_20250705_t1,357.0,496.0,387.0,553.0,30.0,57.0,329.0,458.0,347.0,507.0,18,49,9.179,99.725,123.693,1.24,7,0.092,Yes,329.0,458.0,347.0,507.0,D:\projects\illegal_parking_project\data\images\0001_top_20250705_t1.jpg,True,True
38,c,0001_top_20250705_t0,0001_top_20250705_t1,582.0,543.0,615.0,614.0,33.0,71.0,460.0,499.0,483.0,537.0,23,38,4.301,117.686,117.593,0.999,7,0.037,Yes,460.0,499.0,483.0,537.0,D:\projects\illegal_parking_project\data\images\0001_top_20250705_t1.jpg,True,True
39,c,0001_top_20250705_t0,0001_top_20250705_t1,78.0,288.0,109.0,342.0,31.0,54.0,156.0,309.0,175.0,367.0,19,58,7.382,107.168,145.207,1.355,7,0.069,Yes,156.0,309.0,175.0,367.0,D:\projects\illegal_parking_project\data\images\0001_top_20250705_t1.jpg,True,True
40,c,0001_top_20250705_t0,0001_top_20250705_t1,373.0,561.0,409.0,616.0,36.0,55.0,340.0,494.0,359.0,538.0,19,44,2.0,103.711,117.593,1.134,7,0.019,Yes,340.0,494.0,359.0,538.0,D:\projects\illegal_parking_project\data\images\0001_top_20250705_t1.jpg,True,True
41,c,0001_top_20250705_t0,0001_top_20250705_t1,207.0,358.0,237.0,413.0,30.0,55.0,237.0,365.0,257.0,415.0,20,50,8.544,104.005,132.774,1.277,7,0.082,Yes,237.0,365.0,257.0,415.0,D:\projects\illegal_parking_project\data\images\0001_top_20250705_t1.jpg,True,True
42,c,0001_top_20250705_t0,0001_top_20250705_t1,251.0,169.0,280.0,221.0,29.0,52.0,276.0,231.0,293.0,273.0,17,42,36.623,113.952,112.161,0.984,7,0.321,Yes,276.0,231.0,293.0,273.0,D:\projects\illegal_parking_project\data\images\0001_top_20250705_t1.jpg,True,True
43,c,0001_top_20250705_t0,0001_top_20250705_t1,413.0,538.0,451.0,595.0,38.0,57.0,364.0,483.0,382.0,531.0,18,48,6.103,111.041,121.511,1.094,7,0.055,Yes,364.0,483.0,382.0,531.0,D:\projects\illegal_parking_project\data\images\0001_top_20250705_t1.jpg,True,True
44,c,0001_top_20250705_t0,0001_top_20250705_t1,376.0,478.0,411.0,535.0,35.0,57.0,341.0,447.0,360.0,493.0,19,46,8.016,109.225,121.264,1.11,7,0.073,Yes,341.0,447.0,360.0,493.0,D:\projects\illegal_parking_project\data\images\0001_top_20250705_t1.jpg,True,True
45,c,0001_top_20250705_t0,0001_top_20250705_t1,286.0,149.0,313.0,195.0,27.0,46.0,289.0,225.0,304.0,265.0,15,40,3.0,105.38,104.637,0.993,7,0.028,Yes,289.0,225.0,304.0,265.0,D:\projects\illegal_parking_project\data\images\0001_top_20250705_t1.jpg,True,True
46,c,0001_top_20250705_t0,0001_top_20250705_t1,234.0,183.0,262.0,236.0,28.0,53.0,253.0,247.0,271.0,290.0,18,43,5.59,111.288,117.796,1.058,7,0.05,Yes,253.0,247.0,271.0,290.0,D:\projects\illegal_parking_project\data\images\0001_top_20250705_t1.jpg,True,True
47,c,0001_top_20250705_t0,0001_top_20250705_t1,336.0,336.0,370.0,389.0,34.0,53.0,320.0,358.0,338.0,401.0,18,43,5.852,112.61,114.865,1.02,7,0.052,Yes,320.0,358.0,338.0,401.0,D:\projects\illegal_parking_project\data\images\0001_top_20250705_t1.jpg,True,True
48,c,0001_top_20250705_t0,0001_top_20250705_t1,95.0,509.0,126.0,567.0,31.0,58.0,174.0,453.0,194.0,509.0,20,56,11.511,96.426,142.436,1.477,7,0.119,Yes,174.0,453.0,194.0,509.0,D:\projects\illegal_parking_project\data\images\0001_top_20250705_t1.jpg,True,True
49,c,0001_top_20250705_t0,0001_top_20250705_t1,277.0,383.0,312.0,434.0,35.0,51.0,282.0,386.0,302.0,427.0,20,41,7.616,107.713,117.414,1.09,7,0.071,Yes,282.0,386.0,302.0,427.0,D:\projects\illegal_parking_project\data\images\0001_top_20250705_t1.jpg,True,True
50,c,0001_top_20250705_t0,0001_top_20250705_t1,98.0,513.0,122.0,568.0,24.0,55.0,176.0,461.0,192.0,509.0,16,48,13.463,82.801,117.801,1.423,7,0.163,Yes,176.0,461.0,192.0,509.0,D:\projects\illegal_parking_project\data\images\0001_top_20250705_t1.jpg,True,True
51,c,0001_top_20250705_t0,0001_top_20250705_t1,97.0,273.0,129.0,328.0,32.0,55.0,169.0,310.0,187.0,354.0,18,44,2.0,110.635,117.796,1.065,7,0.018,Yes,169.0,310.0,187.0,354.0,D:\projects\illegal_parking_project\data\images\0001_top_20250705_t1.jpg,True,True
71,b,0001_top_20250707_t0,0001_top_20250707_t1,375.0,231.0,459.0,296.0,84.0,65.0,354.0,381.0,444.0,454.0,90,73,2.915,72.918,75.133,1.03,6,0.04,Yes,354.0,381.0,444.0,454.0,D:\projects\illegal_parking_project\data\images\0001_top_20250707_t1.png,True,True
72,b,0001_top_20250707_t0,0001_top_20250707_t1,375.0,165.0,451.0,232.0,76.0,67.0,356.0,312.0,438.0,386.0,82,74,3.536,68.0,70.328,1.034,6,0.052,Yes,356.0,312.0,438.0,386.0,D:\projects\illegal_parking_project\data\images\0001_top_20250707_t1.png,True,True
73,b,0001_top_20250707_t0,0001_top_20250707_t1,378.0,305.0,458.0,375.0,80.0,70.0,355.0,455.0,444.0,532.0,89,77,2.55,71.12,75.18,1.057,6,0.036,Yes,355.0,455.0,444.0,532.0,D:\projects\illegal_parking_project\data\images\0001_top_20250707_t1.png,True,True
74,b,0001_top_20250707_t0,0001_top_20250707_t1,384.0,86.0,463.0,159.0,79.0,73.0,363.0,227.0,450.0,303.0,87,76,2.062,71.197,73.824,1.037,6,0.029,Yes,363.0,227.0,450.0,303.0,D:\projects\illegal_parking_project\data\images\0001_top_20250707_t1.png,True,True
75,b,0001_top_20250707_t0,0001_top_20250707_t1,165.0,399.0,243.0,457.0,78.0,58.0,131.0,545.0,218.0,623.0,87,78,1.581,68.447,74.303,1.086,6,0.023,Yes,131.0,545.0,218.0,623.0,D:\projects\illegal_parking_project\data\images\0001_top_20250707_t1.png,True,True
76,b,0001_top_20250707_t0,0001_top_20250707_t1,380.0,381.0,460.0,439.0,80.0,58.0,358.0,534.0,444.0,611.0,86,77,3.64,69.354,72.945,1.052,6,0.052,Yes,358.0,534.0,444.0,611.0,D:\projects\illegal_parking_project\data\images\0001_top_20250707_t1.png,True,True
77,b,0001_top_20250707_t0,0001_top_20250707_t1,384.0,454.0,461.0,511.0,77.0,57.0,359.0,618.0,440.0,639.0,81,21,10.63,67.119,60.208,0.897,6,0.158,Yes,359.0,618.0,440.0,639.0,D:\projects\illegal_parking_project\data\images\0001_top_20250707_t1.png,True,True
78,b,0001_top_20250707_t0,0001_top_20250707_t1,158.0,265.0,243.0,328.0,85.0,63.0,125.0,405.0,218.0,477.0,93,72,1.118,74.733,76.485,1.023,6,0.015,Yes,125.0,405.0,218.0,477.0,D:\projects\illegal_parking_project\data\images\0001_top_20250707_t1.png,True,True
79,b,0001_top_20250707_t0,0001_top_20250707_t1,334.0,381.0,368.0,505.0,34.0,124.0,305.0,531.0,347.0,639.0,42,108,9.301,63.953,56.036,0.876,6,0.145,Yes,305.0,531.0,347.0,639.0,D:\projects\illegal_parking_project\data\images\0001_top_20250707_t1.png,True,True
84,d,0001_top_20250708_t0,0001_top_20250708_t1,398.0,236.0,469.0,524.0,71.0,288.0,585.0,320.0,639.0,558.0,54,238,3.64,89.185,70.774,0.794,10,0.041,Yes,585.0,320.0,639.0,558.0,D:\projects\illegal_parking_project\data\images\0001_top_20250708_t1.jpg,True,True
85,d,0001_top_20250708_t0,0001_top_20250708_t1,240.0,259.0,307.0,543.0,67.0,284.0,443.0,292.0,510.0,541.0,67,249,4.5,87.71,75.591,0.862,10,0.051,Yes,443.0,292.0,510.0,541.0,D:\projects\illegal_parking_project\data\images\0001_top_20250708_t1.jpg,True,True
86,d,0001_top_20250708_t0,0001_top_20250708_t1,159.0,282.0,230.0,561.0,71.0,279.0,376.0,284.0,440.0,544.0,64,260,5.0,86.833,77.82,0.896,10,0.058,Yes,376.0,284.0,440.0,544.0,D:\projects\illegal_parking_project\data\images\0001_top_20250708_t1.jpg,True,True
87,d,0001_top_20250708_t0,0001_top_20250708_t1,318.0,277.0,386.0,557.0,68.0,280.0,512.0,320.0,580.0,575.0,68,255,6.083,85.959,77.827,0.905,10,0.071,Yes,512.0,320.0,580.0,575.0,D:\projects\illegal_parking_project\data\images\0001_top_20250708_t1.jpg,True,True
88,d,0001_top_20250708_t0,0001_top_20250708_t1,0.0,308.0,73.0,584.0,73.0,276.0,229.0,265.0,292.0,520.0,63,255,1.803,86.354,76.026,0.88,10,0.021,Yes,229.0,265.0,292.0,520.0,D:\projects\illegal_parking_project\data\images\0001_top_20250708_t1.jpg,True,True
89,d,0001_top_20250708_t0,0001_top_20250708_t1,78.0,297.0,150.0,577.0,72.0,280.0,306.0,290.0,372.0,537.0,66,247,5.701,87.71,74.706,0.852,10,0.065,Yes,306.0,290.0,372.0,537.0,D:\projects\illegal_parking_project\data\images\0001_top_20250708_t1.jpg,True,True
91,c,0001_top_20250711_t0,0001_top_20250711_t1,258.0,172.0,312.0,284.0,54.0,112.0,258.0,172.0,312.0,284.0,54,112,1.581,121.083,118.343,0.977,9,0.013,Yes,258.0,172.0,312.0,284.0,D:\projects\illegal_parking_project\data\images\0001_top_20250711_t1.jpg,True,True
92,c,0001_top_20250711_t0,0001_top_20250711_t1,214.0,187.0,262.0,293.0,48.0,106.0,214.0,187.0,262.0,293.0,48,106,2.55,110.635,107.935,0.976,9,0.023,Yes,214.0,187.0,262.0,293.0,D:\projects\illegal_parking_project\data\images\0001_top_20250711_t1.jpg,True,True
93,c,0001_top_20250711_t0,0001_top_20250711_t1,174.0,209.0,232.0,314.0,58.0,105.0,174.0,209.0,232.0,314.0,58,105,2.236,119.52,116.778,0.977,9,0.019,Yes,174.0,209.0,232.0,314.0,D:\projects\illegal_parking_project\data\images\0001_top_20250711_t1.jpg,True,True
94,c,0001_top_20250711_t0,0001_top_20250711_t1,175.0,206.0,223.0,301.0,48.0,95.0,175.0,206.0,223.0,301.0,48,95,2.915,103.392,100.658,0.974,9,0.028,Yes,175.0,206.0,223.0,301.0,D:\projects\illegal_parking_project\data\images\0001_top_20250711_t1.jpg,True,True
95,b,0002_top_20250630_t0,0002_top_20250630_t1,163.0,31.0,186.0,79.0,23.0,48.0,235.0,51.0,257.0,155.0,22,104,14.509,46.669,68.964,1.478,7,0.311,Yes,235.0,51.0,257.0,155.0,D:\projects\illegal_parking_project\data\images\0002_top_20250630_t1.jpg,True,True
97,d,0002_top_20250703_t0,0002_top_20250703_t1,558.0,358.0,622.0,399.0,64.0,41.0,441.0,354.0,503.0,393.0,62,39,8.382,76.322,74.686,0.979,6,0.11,Yes,441.0,354.0,503.0,393.0,D:\projects\illegal_parking_project\data\images\0002_top_20250703_t1.jpg,True,True
98,d,0002_top_20250703_t0,0002_top_20250703_t1,565.0,297.0,630.0,340.0,65.0,43.0,443.0,292.0,506.0,334.0,63,42,8.382,77.621,76.942,0.991,6,0.108,Yes,443.0,292.0,506.0,334.0,D:\projects\illegal_parking_project\data\images\0002_top_20250703_t1.jpg,True,True
99,d,0002_top_20250703_t0,0002_top_20250703_t1,566.0,489.0,627.0,532.0,61.0,43.0,456.0,482.0,516.0,522.0,60,40,11.0,74.324,71.554,0.963,6,0.148,Yes,456.0,482.0,516.0,522.0,D:\projects\illegal_parking_project\data\images\0002_top_20250703_t1.jpg,True,True
100,d,0002_top_20250703_t0,0002_top_20250703_t1,561.0,431.0,617.0,469.0,56.0,38.0,448.0,425.0,506.0,462.0,58,37,6.576,66.31,68.877,1.039,6,0.099,Yes,448.0,425.0,506.0,462.0,D:\projects\illegal_parking_project\data\images\0002_top_20250703_t1.jpg,True,True
101,d,0002_top_20250703_t0,0002_top_20250703_t1,480.0,121.0,507.0,225.0,27.0,104.0,351.0,141.0,374.0,240.0,23,99,2.062,75.584,75.644,1.001,6,0.027,Yes,351.0,141.0,374.0,240.0,D:\projects\illegal_parking_project\data\images\0002_top_20250703_t1.jpg,True,True
102,d,0002_top_20250703_t0,0002_top_20250703_t1,163.0,325.0,190.0,418.0,27.0,93.0,46.0,413.0,78.0,510.0,32,97,6.801,69.836,80.262,1.149,6,0.097,Yes,46.0,413.0,78.0,510.0,D:\projects\illegal_parking_project\data\images\0002_top_20250703_t1.jpg,True,True
103,d,0002_top_20250704_t0,0002_top_20250704_t1,63.0,293.0,98.0,427.0,35.0,134.0,216.0,298.0,251.0,434.0,35,136,5.852,75.153,74.733,0.994,7,0.078,Yes,216.0,298.0,251.0,434.0,D:\projects\illegal_parking_project\data\images\0002_top_20250704_t1.jpg,True,True
105,c,0002_top_20250705_t0,0002_top_20250705_t1,230.0,60.0,262.0,119.0,32.0,59.0,307.0,100.0,339.0,156.0,32,56,32.423,104.661,115.278,1.101,10,0.31,Yes,307.0,100.0,339.0,156.0,D:\projects\illegal_parking_project\data\images\0002_top_20250705_t1.png,True,True
106,c,0002_top_20250705_t0,0002_top_20250705_t1,474.0,128.0,511.0,181.0,37.0,53.0,557.0,165.0,594.0,221.0,37,56,7.906,118.229,121.918,1.031,10,0.067,Yes,557.0,165.0,594.0,221.0,D:\projects\illegal_parking_project\data\images\0002_top_20250705_t1.png,True,True
107,c,0002_top_20250705_t0,0002_top_20250705_t1,436.0,0.0,471.0,46.0,35.0,46.0,518.0,26.0,548.0,83.0,30,57,19.704,109.202,117.388,1.075,10,0.18,Yes,518.0,26.0,548.0,83.0,D:\projects\illegal_parking_project\data\images\0002_top_20250705_t1.png,True,True
108,c,0002_top_20250705_t0,0002_top_20250705_t1,533.0,341.0,570.0,396.0,37.0,55.0,618.0,373.0,639.0,433.0,21,60,15.508,116.662,92.195,0.79,10,0.133,Yes,618.0,373.0,639.0,433.0,D:\projects\illegal_parking_project\data\images\0002_top_20250705_t1.png,True,True
109,c,0002_top_20250705_t0,0002_top_20250705_t1,222.0,313.0,261.0,374.0,39.0,61.0,304.0,345.0,343.0,404.0,39,59,15.008,111.072,120.341,1.083,10,0.135,Yes,304.0,345.0,343.0,404.0,D:\projects\illegal_parking_project\data\images\0002_top_20250705_t1.png,True,True
110,c,0002_top_20250705_t0,0002_top_20250705_t1,438.0,154.0,474.0,211.0,36.0,57.0,519.0,190.0,554.0,244.0,35,54,6.727,117.034,116.181,0.993,10,0.057,Yes,519.0,190.0,554.0,244.0,D:\projects\illegal_parking_project\data\images\0002_top_20250705_t1.png,True,True
111,c,0002_top_20250705_t0,0002_top_20250705_t1,144.0,200.0,184.0,265.0,40.0,65.0,244.0,217.0,282.0,279.0,38,62,37.98,113.846,126.574,1.112,10,0.334,Yes,244.0,217.0,282.0,279.0,D:\projects\illegal_parking_project\data\images\0002_top_20250705_t1.png,True,True
112,c,0002_top_20250705_t0,0002_top_20250705_t1,495.0,194.0,528.0,253.0,33.0,59.0,581.0,235.0,608.0,286.0,27,51,4.95,115.434,98.311,0.852,10,0.043,Yes,581.0,235.0,608.0,286.0,D:\projects\illegal_parking_project\data\images\0002_top_20250705_t1.png,True,True
113,c,0002_top_20250705_t0,0002_top_20250705_t1,456.0,479.0,491.0,539.0,35.0,60.0,539.0,506.0,575.0,566.0,36,60,2.236,109.786,111.288,1.014,10,0.02,Yes,539.0,506.0,575.0,566.0,D:\projects\illegal_parking_project\data\images\0002_top_20250705_t1.png,True,True
114,c,0002_top_20250705_t0,0002_top_20250705_t1,397.0,456.0,436.0,518.0,39.0,62.0,480.0,484.0,520.0,544.0,40,60,3.0,115.521,118.562,1.026,10,0.026,Yes,480.0,484.0,520.0,544.0,D:\projects\illegal_parking_project\data\images\0002_top_20250705_t1.png,True,True
115,c,0002_top_20250705_t0,0002_top_20250705_t1,437.0,418.0,471.0,478.0,34.0,60.0,522.0,448.0,556.0,505.0,34,57,6.021,108.977,106.963,0.982,10,0.055,Yes,522.0,448.0,556.0,505.0,D:\projects\illegal_parking_project\data\images\0002_top_20250705_t1.png,True,True
116,c,0002_top_20250705_t0,0002_top_20250705_t1,284.0,274.0,319.0,336.0,35.0,62.0,366.0,308.0,401.0,365.0,35,57,7.906,108.19,112.486,1.04,10,0.073,Yes,366.0,308.0,401.0,365.0,D:\projects\illegal_parking_project\data\images\0002_top_20250705_t1.png,True,True
117,c,0002_top_20250705_t0,0002_top_20250705_t1,376.0,198.0,412.0,251.0,36.0,53.0,458.0,230.0,492.0,285.0,34,55,9.605,108.577,113.217,1.043,10,0.088,Yes,458.0,230.0,492.0,285.0,D:\projects\illegal_parking_project\data\images\0002_top_20250705_t1.png,True,True
118,c,0002_top_20250705_t0,0002_top_20250705_t1,262.0,293.0,300.0,351.0,38.0,58.0,345.0,326.0,380.0,382.0,35,56,9.899,108.374,111.072,1.025,10,0.091,Yes,345.0,326.0,380.0,382.0,D:\projects\illegal_parking_project\data\images\0002_top_20250705_t1.png,True,True
